Sr. No.,Symbol,Company Name
251,MOTILALOFS,Motilal Oswal Financial Services Limited
252,ITI,ITI Limited
253,360ONE,360 ONE WAM LIMITED
254,CARBORUNIV,Carborundum Universal Limited
255,AARTIIND,Aarti Industries Limited
256,SUNTV,Sun TV Network Limited
257,KIOCL,KIOCL Limited
258,ISEC,ICICI Securities Limited
259,RADICO,Radico Khaitan Limited
260,SUNDRMFAST,Sundram Fasteners Limited
261,CREDITACC,CREDITACCESS GRAMEEN LIMITED
262,COCHINSHIP,Cochin Shipyard Limited
263,HATSUN,Hatsun Agro Product Limited
264,MANYAVAR,Vedant Fashions Limited
265,CYIENT,Cyient Limited
266,GET&D,GE T&D India Limited
267,BRIGADE,Brigade Enterprises Limited
268,TIMKEN,Timken India Limited
269,NBCC,NBCC (India) Limited
270,JBMA,JBM Auto Limited
271,GILLETTE,Gillette India Limited
272,KANSAINER,Kansai Nerolac Paints Limited
273,LAURUSLABS,Laurus Labs Limited
274,GRINDWELL,Grindwell Norton Limited
275,FIVESTAR,Five-Star Business Finance Limited
276,SWANENERGY,Swan Energy Limited
277,CHOLAHLDNG,Cholamandalam Financial Holdings Limited
278,IRCON,Ircon International Limited
279,SKFINDIA,SKF India Limited
280,BSOFT,BIRLASOFT LIMITED
281,ASTERDM,Aster DM Healthcare Limited
282,RELAXO,Relaxo Footwears Limited
283,SONATSOFTW,Sonata Software Limited
284,GSPL,Gujarat State Petronet Limited
285,RATNAMANI,Ratnamani Metals & Tubes Limited
286,ABFRL,Aditya Birla Fashion and Retail Limited
287,APLLTD,Alembic Pharmaceuticals Limited
288,PFIZER,Pfizer Limited
289,RAMCOCEM,The Ramco Cements Limited
290,SIGNATURE,Signatureglobal (India) Limited
291,PEL,Piramal Enterprises Limited
292,ELGIEQUIP,Elgi Equipments Limited
293,LALPATHLAB,Dr. Lal Path Labs Ltd.
294,EMAMILTD,Emami Limited
295,SANOFI,Sanofi India Limited
296,JYOTICNC,Jyoti CNC Automation Limited
297,TRIDENT,Trident Limited
298,CASTROLIND,Castrol India Limited
299,KAJARIACER,Kajaria Ceramics Limited
300,KAYNES,Kaynes Technology India Limited
301,CENTURYTEX,Century Textiles & Industries Limited
302,CHALET,Chalet Hotels Limited
303,DEVYANI,Devyani International Limited
304,CDSL,Central Depository Services (India) Limited
305,KEC,KEC International Limited
306,SCHNEIDER,Schneider Electric Infrastructure Limited
307,IDFC,IDFC Limited
308,BATAINDIA,Bata India Limited
309,CIEINDIA,CIE Automotive India Limited
310,KPIL,Kalpataru Projects International Limited
311,RRKABEL,R R Kabel Limited
312,SUMICHEM,Sumitomo Chemical India Limited
313,NATCOPHARM,Natco Pharma Limited
314,SUVENPHAR,Suven Pharmaceuticals Limited
315,CROMPTON,Crompton Greaves Consumer Electricals Limited
316,TRITURBINE,Triveni Turbine Limited
317,PPLPHARMA,Piramal Pharma Limited
318,INOXWIND,Inox Wind Limited
319,ACE,Action Construction Equipment Limited
320,ATUL,Atul Limited
321,CGCL,Capri Global Capital Limited
322,TVSHLTD,TVS Holdings Limited
323,SHYAMMETL,Shyam Metalics and Energy Limited
324,NUVAMA,Nuvama Wealth Management Limited
325,KIMS,Krishna Institute of Medical Sciences Limited
326,CELLO,Cello World Limited
327,PNBHOUSING,PNB Housing Finance Limited
328,REDINGTON,Redington Limited
329,LAXMIMACH,Lakshmi Machine Works Limited
330,JYOTHYLAB,Jyothy Labs Limited
331,CESC,CESC Limited
332,GODFRYPHLP,Godfrey Phillips India Limited
333,NSLNISP,NMDC Steel Limited
334,RITES,RITES Limited
335,CONCORDBIO,Concord Biotech Limited
336,INDIAMART,Indiamart Intermesh Limited
337,AEGISCHEM,Aegis Logistics Limited
338,OLECTRA,Olectra Greentech Limited
339,WHIRLPOOL,Whirlpool of India Limited
340,ANANDRATHI,Anand Rathi Wealth Limited
341,NAVINFLUOR,Navin Fluorine International Limited
342,JWL,Jupiter Wagons Limited
343,APTUS,Aptus Value Housing Finance India Limited
344,FINCABLES,Finolex Cables Limited
345,FINPIPE,Finolex Industries Limited
346,POLYMED,Poly Medicure Limited
347,VINATIORGA,Vinati Organics Limited
348,INTELLECT,Intellect Design Arena Limited
349,JAIBALAJI,Jai Balaji Industries Limited
350,J&KBANK,The Jammu & Kashmir Bank Limited
351,KARURVYSYA,Karur Vysya Bank Limited
352,BLUEDART,Blue Dart Express Limited
353,MANAPPURAM,Manappuram Finance Limited
354,AFFLE,Affle (India) Limited
355,NCC,NCC Limited
356,RBLBANK,RBL Bank Limited
