S.No,Name,URL,Exchange Code,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %
91.,Dabur India,https://www.screener.in/company/DABUR/consolidated/,DABUR,625.75,59.98,110902.38,0.88,494.35,8.27,3349.11,6.98,22.28
92.,I O B,https://www.screener.in/company/IOB/,IOB,58.67,39.78,110900.45,0.00,632.81,26.47,6535.03,20.48,5.41
93.,Suzlon Energy,https://www.screener.in/company/SUZLON/consolidated/,SUZLON,81.84,119.95,110767.11,0.00,302.29,225.95,2021.59,49.64,24.93
94.,Bosch,https://www.screener.in/company/BOSCHLTD/,BOSCHLTD,37141.90,57.47,109544.98,1.01,465.50,13.81,4316.80,3.81,20.61
95.,Rail Vikas,https://www.screener.in/company/RVNL/,RVNL,521.85,80.77,108806.77,0.40,217.80,-34.71,4064.27,-25.37,18.70
96.,Mankind Pharma,https://www.screener.in/company/MANKIND/,MANKIND,2685.15,57.38,107578.96,0.00,513.49,27.51,2403.26,14.86,24.57
97.,Zydus Lifesci.,https://www.screener.in/company/ZYDUSLIFE/consolidated/,ZYDUSLIFE,1068.00,25.78,107465.79,0.28,1482.50,29.66,6207.50,20.78,22.34
98.,Solar Industries,https://www.screener.in/company/SOLARINDS/consolidated/,SOLARINDS,11762.65,115.07,106440.28,0.07,300.54,45.11,1694.78,0.75,32.47
99.,Indus Towers,https://www.screener.in/company/INDUSTOWER/consolidated/,INDUSTOWER,393.75,16.04,106113.14,0.00,1925.90,42.88,7383.00,4.34,22.08
100.,Cummins India,https://www.screener.in/company/CUMMINSIND/,CUMMINSIND,3794.20,59.56,105175.22,1.00,419.80,32.99,2304.19,4.32,35.23
101.,Jindal Steel,https://www.screener.in/company/JINDALSTEL/consolidated/,JINDALSTEL,1028.25,18.77,104890.56,0.19,1337.92,-20.69,13617.84,8.18,13.16
102.,Apollo Hospitals,https://www.screener.in/company/APOLLOHOSP/consolidated/,APOLLOHOSP,7167.85,99.48,103062.69,0.22,315.50,83.19,5085.60,15.12,15.55
103.,Info Edg.(India),https://www.screener.in/company/NAUKRI/consolidated/,NAUKRI,7947.70,160.28,102989.57,0.28,258.86,56.83,676.71,8.11,3.65
104.,Polycab India,https://www.screener.in/company/POLYCAB/consolidated/,POLYCAB,6747.40,57.00,101473.14,0.44,401.62,-0.92,4698.03,20.79,31.33
105.,Indian Hotels Co,https://www.screener.in/company/INDHOTEL/consolidated/,INDHOTEL,709.90,78.64,101049.45,0.25,260.19,11.67,1550.23,5.72,15.11
106.,Colgate-Palmoliv,https://www.screener.in/company/COLPAL/,COLPAL,3698.40,71.14,100591.17,1.30,363.98,26.48,1496.71,13.07,96.80
107.,Canara Bank,https://www.screener.in/company/CANBK/consolidated/,CANBK,110.17,6.40,99931.36,2.92,4098.24,8.79,29172.97,14.63,6.63
108.,Lupin,https://www.screener.in/company/LUPIN/consolidated/,LUPIN,2188.15,44.10,99811.00,0.37,805.54,77.18,5600.33,16.33,15.72
