S.No,Name,URL,Exchange Code,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %
2739.,Kothari Ferment.,https://www.screener.in/company/507474/,507474,93.24,,139.86,0.00,1.10,140.89,26.36,2.89,-0.40
2740.,Lasa Supergeneri,https://www.screener.in/company/LASA/,LASA,27.85,,139.53,0.00,-2.73,44.85,30.84,0.92,-6.45
2741.,Palred Technolog,https://www.screener.in/company/PALREDTEC/consolidated/,PALREDTEC,113.95,,139.39,0.00,-2.01,-78.21,19.32,-41.54,1.29
2742.,Sundaram Multi.,https://www.screener.in/company/SUNDARAM/,SUNDARAM,2.94,,139.32,0.00,0.25,439.47,42.42,0.31,0.33
2743.,Parnax Lab,https://www.screener.in/company/506128/consolidated/,506128,121.25,13.56,139.26,0.00,3.99,19.88,50.12,2.83,12.90
2744.,Dhariwalcorp,https://www.screener.in/company/DHARIWAL/,DHARIWAL,155.55,30.87,139.24,0.00,,,,,50.25
2745.,B C C Fuba India,https://www.screener.in/company/517246/,517246,90.91,41.06,139.18,0.00,0.87,-29.84,9.63,-9.75,15.42
2746.,Sayaji Industr,https://www.screener.in/company/540728/consolidated/,540728,220.05,,139.07,0.00,-2.87,-277.63,273.31,11.71,-1.18
2747.,Peria Kara. Tea,https://www.screener.in/company/PKTEA/consolidated/,PKTEA,448.50,26.00,138.85,0.22,3.69,371.32,11.60,-1.11,4.16
2748.,Goyal Aluminiums,https://www.screener.in/company/GOYALALUM/,GOYALALUM,9.72,63.94,138.74,0.00,0.50,-23.08,19.22,18.35,16.51
2749.,GTV Engineering,https://www.screener.in/company/539479/,539479,443.60,21.86,138.58,0.00,1.37,211.36,32.68,73.28,12.74
2750.,Ahlada Engineers,https://www.screener.in/company/AHLADA/,AHLADA,107.24,10.02,138.56,2.80,1.87,10.00,41.45,8.56,14.64
2751.,India Steel,https://www.screener.in/company/513361/,513361,3.47,,138.13,0.00,-4.42,18.90,0.00,-100.00,-5.86
2752.,Bhilwara Spinner,https://www.screener.in/company/514272/,514272,152.40,86.78,137.98,0.00,1.66,1220.00,12.09,,1.14
2753.,AMD Industries,https://www.screener.in/company/AMDIND/,AMDIND,71.90,107.68,137.83,0.00,3.75,374.68,95.48,-5.78,3.58
2754.,Colab Cloud,https://www.screener.in/company/542866/,542866,13.50,72.09,137.70,0.00,0.45,104.55,11.19,6116.67,8.64
2755.,Athena Global,https://www.screener.in/company/517429/consolidated/,517429,98.00,0.67,137.69,0.00,-4.74,23.18,4.17,23.74,124.49
2756.,Bansal Roofing,https://www.screener.in/company/538546/,538546,104.41,41.97,137.65,0.00,0.89,-22.61,24.04,-16.90,17.20
2757.,Guj. Toolroom,https://www.screener.in/company/513337/consolidated/,513337,11.79,1.48,137.55,8.48,22.73,2814.10,264.35,23931.82,179.10
2758.,Pramara Promotio,https://www.screener.in/company/PRAMARA/consolidated/,PRAMARA,152.00,34.77,137.33,0.00,3.21,,42.57,,16.99
2759.,Pharmaids Pharma,https://www.screener.in/company/524572/consolidated/,524572,38.93,,137.30,0.00,-3.12,-100.87,4.67,,-27.57
2760.,SagarSoft (India,https://www.screener.in/company/540143/consolidated/,540143,214.45,13.85,137.08,0.93,1.94,424.32,38.71,19.29,16.15
2761.,Raghuvansh Agro.,https://www.screener.in/company/538921/consolidated/,538921,115.00,21.02,137.05,0.00,4.20,,9.58,,9.92
2762.,Modulex Const.,https://www.screener.in/company/504273/consolidated/,504273,19.73,19.20,136.54,0.00,11.18,491.93,0.00,,-1.85
2763.,Shri Gang Indus,https://www.screener.in/company/523309/,523309,75.90,16.48,136.09,0.00,2.35,-67.76,84.74,8.38,27.21
2764.,Gayatri Sugars,https://www.screener.in/company/532183/,532183,21.00,680.40,136.08,0.00,-17.69,-63.04,19.71,-65.91,102.08
2765.,Swashthik,https://www.screener.in/company/544035/consolidated/,544035,77.43,18.06,136.00,0.00,2.65,,60.04,,15.35
2766.,WEP Solutions,https://www.screener.in/company/532373/,532373,37.15,32.92,135.97,1.35,1.15,27.78,14.77,-6.52,9.21
2767.,Nath Industries,https://www.screener.in/company/502587/,502587,71.53,194.16,135.91,0.00,0.37,117.65,87.61,4.65,2.77
2768.,Sameera Agro,https://www.screener.in/company/SAIFL/,SAIFL,114.00,12.67,135.77,0.00,3.80,,87.78,,25.17
2769.,Techera,https://www.screener.in/company/id/1285007/,id,,28.11,135.47,,,,,,25.86
2770.,Manoj Ceramic,https://www.screener.in/company/544073/,544073,162.45,22.34,135.39,0.00,3.52,,52.75,,20.10
2771.,Landmark Prop.,https://www.screener.in/company/LPDC/,LPDC,10.08,,135.22,0.00,0.06,-66.67,0.41,-12.77,-23.56
2772.,Asit C Mehta Fin,https://www.screener.in/company/530723/consolidated/,530723,162.85,,134.29,0.00,-1.92,55.77,12.96,77.53,0.02
2773.,Sanco Trans,https://www.screener.in/company/523116/,523116,745.00,93.78,134.10,0.20,0.24,700.00,23.29,0.65,2.06
2774.,Aksh Optifibre,https://www.screener.in/company/AKSHOPTFBR/consolidated/,AKSHOPTFBR,8.24,,134.06,0.00,-5.52,-214.62,41.95,-27.59,-33.34
2775.,Aesthetik,https://www.screener.in/company/AESTHETIK/,AESTHETIK,77.80,26.74,133.97,0.00,,,,,36.82
2776.,Virat Industries,https://www.screener.in/company/530521/,530521,271.95,304.09,133.80,0.00,0.22,-58.49,5.99,-39.19,3.72
2777.,Barak Valley,https://www.screener.in/company/BVCL/consolidated/,BVCL,60.38,18.69,133.80,0.00,3.17,-2.76,53.54,-3.65,11.81
2778.,Mohite Industrie,https://www.screener.in/company/532140/consolidated/,532140,66.51,28.20,133.69,0.00,2.10,824.14,46.88,181.73,6.18
2779.,Binayaka Tex Pr,https://www.screener.in/company/523054/,523054,1880.00,26.54,133.48,0.00,0.44,-52.17,52.56,-13.32,8.65
2780.,Ansal Buildwell,https://www.screener.in/company/523007/consolidated/,523007,180.20,5.22,132.99,0.55,7.78,338.65,19.24,648.64,13.06
2781.,Sharp Chucks and,https://www.screener.in/company/SCML/,SCML,123.35,21.76,132.72,0.00,3.69,,105.13,,12.71
2782.,Teamo Production,https://www.screener.in/company/TPHQ/,TPHQ,1.41,24.53,132.71,0.00,1.47,56.38,114.06,22.24,10.46
2783.,Lahoti Overseas,https://www.screener.in/company/531842/consolidated/,531842,45.47,9.77,132.64,0.44,4.59,48.54,119.69,-1.54,10.01
2784.,Vishal Bearings,https://www.screener.in/company/539398/,539398,122.90,,132.62,0.00,-1.37,-221.24,23.23,-17.65,6.19
2785.,Aztec Fluids,https://www.screener.in/company/544177/,544177,97.40,22.00,132.46,0.51,2.71,,31.95,,34.76
2786.,Thacker & Co.,https://www.screener.in/company/509945/consolidated/,509945,1215.90,6.37,132.26,0.00,5.16,108.06,1.08,6.93,2.57
2787.,Bhatia Colour,https://www.screener.in/company/543497/,543497,108.11,38.12,132.26,0.00,1.97,,60.81,,8.22
2788.,Ambar Protein,https://www.screener.in/company/519471/,519471,229.15,36.50,131.76,0.00,1.72,36.51,93.04,-0.19,12.92
2789.,Yamini Invest,https://www.screener.in/company/511012/,511012,2.50,101.88,131.43,0.00,1.17,800.00,2.33,253.03,0.50
2790.,Panyam Cement,https://www.screener.in/company/500322/,500322,163.60,,131.23,0.00,-18.05,-45.92,31.75,114.82,-22.65
2791.,Himalaya Food,https://www.screener.in/company/526899/,526899,22.60,25.06,130.79,0.00,0.88,60.00,10.82,3.05,3.63
2792.,Jamshri Realty,https://www.screener.in/company/502901/,502901,186.95,,130.61,0.00,0.01,104.96,1.67,57.55,-0.89
2793.,Terai Tea Co,https://www.screener.in/company/530533/consolidated/,530533,189.80,15.85,130.58,0.00,5.01,189.60,18.12,39.71,2.48
2794.,Shristi Infra,https://www.screener.in/company/511411/consolidated/,511411,58.68,,130.27,0.00,-8.36,46.89,12.89,-70.16,-7.77
2795.,Expo Gas Contain,https://www.screener.in/company/526614/,526614,56.96,188.19,129.85,0.00,0.29,-17.14,17.71,-4.53,8.82
2796.,Source Natural,https://www.screener.in/company/531398/,531398,201.60,68.66,129.77,0.00,0.42,55.56,8.16,46.24,18.49
2797.,Saptarishi Agro,https://www.screener.in/company/519238/,519238,38.14,62.09,129.76,0.00,0.07,250.00,5.98,34.38,29.63
2798.,Kemp & Co.,https://www.screener.in/company/506530/,506530,1200.00,,129.60,1.00,-0.35,-75.00,0.71,-6.58,-0.25
2799.,Semac Consul,https://www.screener.in/company/SEMAC/consolidated/,SEMAC,421.25,,129.19,1.19,-2.36,-240.48,20.98,-59.74,-27.71
2800.,Macobs,https://www.screener.in/company/MACOBSTECH/,MACOBSTECH,131.25,58.44,128.56,0.00,,,,,42.62
2801.,Polychem,https://www.screener.in/company/506605/,506605,3211.35,19.52,128.45,0.93,1.76,45.45,8.32,-6.09,26.17
2802.,Diensten Tech,https://www.screener.in/company/DTL/,DTL,155.50,,128.45,0.00,-0.67,,27.55,,-11.96
2803.,Phoenix Intl.,https://www.screener.in/company/526481/consolidated/,526481,76.44,49.74,128.34,0.00,0.71,39.22,6.12,-14.29,2.44
2804.,VMS Industries,https://www.screener.in/company/533427/,533427,52.31,18.91,128.02,0.96,0.61,306.67,105.42,687.89,11.66
2805.,Nidhi Granites,https://www.screener.in/company/512103/consolidated/,512103,160.00,94.81,128.00,0.00,0.75,837.50,9.28,19.28,9.76
2806.,Srestha Finvest,https://www.screener.in/company/539217/,539217,0.78,3.96,127.92,0.00,31.01,6947.73,39.50,1632.46,4.18
2807.,Money Masters,https://www.screener.in/company/535910/,535910,12.68,179.27,127.28,0.00,0.16,23.08,0.50,28.21,2.57
2808.,Cinevista,https://www.screener.in/company/CINEVISTA/consolidated/,CINEVISTA,22.14,,127.19,0.00,-1.57,43.93,0.02,,-2.58
2809.,HVAX Technolog.,https://www.screener.in/company/id/1285014/,id,,14.44,127.18,,,,,,30.03
2810.,National Fitting,https://www.screener.in/company/531289/,531289,139.90,23.44,127.07,1.07,6.93,-51.81,15.14,-13.09,12.74
2811.,Agri-Tech India,https://www.screener.in/company/AGRITECH/,AGRITECH,213.50,13.52,126.82,0.00,-0.66,-120.00,0.08,-20.00,-0.64
2812.,Akshar Spintex,https://www.screener.in/company/AKSHAR/,AKSHAR,1.61,39.74,126.78,0.52,0.63,-30.00,37.02,-3.72,10.51
2813.,Womancart,https://www.screener.in/company/WOMANCART/consolidated/,WOMANCART,301.00,44.60,126.66,0.00,1.61,,18.71,,85.01
2814.,Cravatex,https://www.screener.in/company/509472/consolidated/,509472,490.30,25.92,126.50,0.61,0.48,14.29,25.78,-54.45,6.86
2815.,Maiden Forgings,https://www.screener.in/company/543874/,543874,88.83,12.99,126.25,0.00,5.54,,120.60,,16.35
2816.,Fiberweb (India),https://www.screener.in/company/FIBERWEB/,FIBERWEB,43.80,13.66,126.11,0.00,2.90,211.83,24.34,-18.84,5.17
2817.,Alfred Herbert,https://www.screener.in/company/505216/consolidated/,505216,1637.70,504.40,126.10,0.24,-0.33,-430.00,0.32,-21.95,0.50
2818.,Prerna Infra.,https://www.screener.in/company/531802/consolidated/,531802,34.90,26.16,126.09,0.00,1.20,-25.49,2.74,-73.85,7.88
2819.,Biofil Chemicals,https://www.screener.in/company/BIOFILCHEM/,BIOFILCHEM,77.47,200.06,126.04,0.00,0.17,-29.17,8.44,247.33,4.94
2820.,Softrak Venture,https://www.screener.in/company/531529/,531529,27.94,58.58,125.95,0.18,0.00,-100.00,0.08,166.67,6.48
2821.,Ind-Swift,https://www.screener.in/company/INDSWFTLTD/,INDSWFTLTD,23.25,3.14,125.93,0.00,28.24,1096.61,113.85,-23.35,13.42
2822.,DRS Dilip Road,https://www.screener.in/company/DRSDILIP/,DRSDILIP,83.60,45.29,125.92,0.00,-0.51,,82.47,,12.88
2823.,Super Tannery,https://www.screener.in/company/523842/consolidated/,523842,11.65,18.66,125.79,0.43,2.16,89.47,64.60,35.23,7.76
2824.,Jayant Infratech,https://www.screener.in/company/543544/,543544,129.35,26.21,125.56,0.00,2.51,,57.77,,18.21
2825.,Nagreeka Exports,https://www.screener.in/company/NAGREEKEXP/,NAGREEKEXP,40.12,20.45,125.37,0.00,1.38,10.40,171.45,31.54,6.17
2826.,Facor Alloys,https://www.screener.in/company/532656/consolidated/,532656,6.41,,125.35,0.00,6.24,1885.71,0.00,-100.00,-11.85
2827.,BSEL ALGO,https://www.screener.in/company/532123/consolidated/,532123,15.17,4.07,125.33,0.00,18.44,44.06,22.75,38.05,6.36
2828.,Banka Bioloo,https://www.screener.in/company/BANKA/consolidated/,BANKA,115.47,63.90,125.25,0.00,0.29,112.45,12.89,55.68,3.43
2829.,Mayank Cattle Fo,https://www.screener.in/company/544106/,544106,230.00,40.99,124.20,0.00,1.92,,173.46,,13.97
2830.,Ganesha Ecoverse,https://www.screener.in/company/539041/,539041,50.45,29.33,124.08,0.00,3.86,,4.83,,28.20
2831.,Ishan Dyes & Ch.,https://www.screener.in/company/531109/,531109,59.09,43.02,123.90,0.00,0.88,149.72,32.97,173.84,2.32
2832.,Phoenix Overseas,https://www.screener.in/company/id/1284997/consolidated/,id,,22.51,123.81,,,,,,15.46
2833.,Elixir Capital,https://www.screener.in/company/531278/consolidated/,531278,213.05,6.38,123.57,0.59,8.59,180.97,14.72,209.89,36.75
2834.,Party Cruisers,https://www.screener.in/company/PARTYCRUS/consolidated/,PARTYCRUS,109.95,20.29,123.56,0.00,,,,,29.92
2835.,Flomic Global,https://www.screener.in/company/504380/,504380,67.97,184.31,123.49,0.00,-0.57,-160.00,110.82,62.40,8.64
2836.,Dangee Dums,https://www.screener.in/company/DANGEE/,DANGEE,8.02,,123.49,0.00,-0.26,-1400.00,5.89,3.15,3.12
2837.,TCI Industries,https://www.screener.in/company/532262/,532262,1369.95,,123.30,0.00,-0.31,-10.71,0.36,16.13,-7.83
2838.,Alkali Metals,https://www.screener.in/company/ALKALI/,ALKALI,120.96,,123.14,0.83,-3.32,-3118.18,14.67,-13.96,5.99
2839.,Dollex Agrotech,https://www.screener.in/company/DOLLEX/,DOLLEX,49.25,17.52,122.97,0.00,3.79,,79.37,,8.84
2840.,Sambhaav Media,https://www.screener.in/company/SAMBHAAV/consolidated/,SAMBHAAV,6.43,44.15,122.88,0.00,-0.15,96.27,9.14,37.65,2.84
2841.,Freshtrop Fruits,https://www.screener.in/company/530077/,530077,154.15,,122.86,0.00,16.39,216.67,29.85,7.84,-6.40
2842.,My Mudra Fin.,https://www.screener.in/company/MYMUDRA/,MYMUDRA,107.75,14.68,122.75,0.00,,,,,63.68
2843.,Balgopal Commer.,https://www.screener.in/company/539834/,539834,74.10,7.93,122.34,0.00,3.88,140.99,0.05,-95.00,17.50
2844.,Auro Labs.,https://www.screener.in/company/530233/,530233,196.35,15.74,122.33,0.00,0.75,5.63,5.72,-43.81,20.38
2845.,Sattrix,https://www.screener.in/company/544189/consolidated/,544189,179.00,67.62,121.72,0.00,,,,,22.68
2846.,One Global Serv,https://www.screener.in/company/514330/,514330,171.05,15.41,121.45,0.58,1.76,79.59,13.56,8.31,84.85
2847.,Candour Techtex,https://www.screener.in/company/522292/,522292,71.54,,121.17,0.00,0.60,266.67,48.10,14.88,1.10
2848.,Orissa Bengal,https://www.screener.in/company/OBCL/consolidated/,OBCL,57.45,32.82,121.12,0.00,1.02,-55.46,75.43,-3.80,
2849.,Paramatrix Tech.,https://www.screener.in/company/PARAMATRIX/consolidated/,PARAMATRIX,105.00,29.84,120.84,0.00,,,,,17.55
2850.,Auto Pins (I),https://www.screener.in/company/531994/,531994,211.50,156.75,120.70,0.00,0.07,-78.79,12.91,-19.71,21.98
2851.,Mercury Labs,https://www.screener.in/company/538964/,538964,1005.75,24.14,120.69,0.35,0.34,-66.00,16.68,-8.95,13.41
2852.,Yogi Ltd,https://www.screener.in/company/511702/,511702,55.03,,120.53,0.00,-0.16,40.74,0.00,,-1.03
2853.,Shalimar Wires,https://www.screener.in/company/532455/,532455,28.13,,120.27,0.00,0.81,-13.83,33.94,7.37,9.74
2854.,Master Component,https://www.screener.in/company/MASTER/,MASTER,300.05,44.78,120.02,0.00,1.67,,13.80,,20.42
2855.,Aprameya Enginee,https://www.screener.in/company/APRAMEYA/,APRAMEYA,62.95,34.64,119.86,0.00,,,,,11.75
2856.,Saboo Sodium,https://www.screener.in/company/530461/,530461,28.55,50.78,119.83,0.00,2.00,277.36,15.00,27.23,4.39
2857.,Transcorp Intl.,https://www.screener.in/company/532410/consolidated/,532410,37.54,12.13,119.59,0.80,10.38,1659.32,401.03,-37.59,6.03
2858.,Asarfi Hospital,https://www.screener.in/company/543943/consolidated/,543943,60.70,28.71,119.44,0.00,,,,,
2859.,Bharat Immunolog,https://www.screener.in/company/524663/,524663,27.64,,119.35,0.00,-4.92,-59.74,0.00,-100.00,-9.27
2860.,SKIL Infrastr,https://www.screener.in/company/SKIL/consolidated/,SKIL,5.51,6.98,119.33,0.00,-4.47,76.02,0.00,,0.21
2861.,Sangam Finserv,https://www.screener.in/company/538714/,538714,127.80,14.42,119.14,0.00,2.19,19.67,4.55,11.52,9.21
2862.,Akar Auto Indust,https://www.screener.in/company/530621/,530621,110.40,20.26,119.10,0.54,1.54,33.91,94.94,5.76,17.33
2863.,Soma Textiles,https://www.screener.in/company/SOMATEX/,SOMATEX,36.01,51.49,118.95,0.00,1.20,242.50,1.39,29.91,2.57
2864.,Holmarc Opto,https://www.screener.in/company/HOLMARC/,HOLMARC,118.00,34.57,118.59,0.34,2.37,,19.45,,26.00
2865.,Modern Engineer.,https://www.screener.in/company/539762/,539762,76.75,34.17,118.58,0.00,1.11,-13.28,14.49,1.40,98.71
2866.,Sampann Utpadan,https://www.screener.in/company/SAMPANN/consolidated/,SAMPANN,29.20,,118.58,0.00,-1.54,-57.14,20.19,15.24,0.24
2867.,Aakash Explor.,https://www.screener.in/company/AAKASH/,AAKASH,11.71,18.58,118.56,0.00,1.20,15.38,26.01,42.13,12.63
2868.,Unilex Colour &C,https://www.screener.in/company/id/1285006/,id,,19.20,118.47,,,,,,18.20
2869.,SKP Securities,https://www.screener.in/company/531169/,531169,173.90,10.75,118.41,0.86,3.21,277.65,9.87,68.72,30.32
2870.,Paras Petrofils,https://www.screener.in/company/PARASPETRO/,PARASPETRO,3.54,,118.31,0.00,0.22,4.76,0.00,,3.51
2871.,Omnitex Industri,https://www.screener.in/company/514324/,514324,281.70,60.67,118.31,2.84,2.63,325.00,1.06,265.52,2.28
2872.,Gujarat Poly,https://www.screener.in/company/517288/,517288,138.31,60.65,118.26,0.00,0.51,-29.17,4.86,0.41,10.20
2873.,Abhinav Capital,https://www.screener.in/company/532057/,532057,170.70,23.13,118.20,0.00,1.12,-78.79,2.79,-57.73,16.27
2874.,Ganga Papers,https://www.screener.in/company/531813/,531813,109.55,79.86,118.20,0.00,0.31,0.00,65.73,5.74,6.93
2875.,Quadrant Tele.,https://www.screener.in/company/511116/,511116,1.93,,118.17,0.00,-30.10,-12.10,63.10,-10.89,
2876.,APM Industries,https://www.screener.in/company/523537/,523537,54.67,49.85,118.15,0.91,-0.98,-219.51,74.09,-4.74,3.27
2877.,D & H India,https://www.screener.in/company/517514/consolidated/,517514,144.05,40.95,117.95,0.00,0.79,27.42,44.47,33.74,9.91
2878.,Forge Auto,https://www.screener.in/company/id/1285011/,id,,18.63,117.94,,,,,,23.52
2879.,Three M Paper,https://www.screener.in/company/544214/,544214,61.10,10.30,117.54,0.00,,,,,15.61
2880.,G G Automotive,https://www.screener.in/company/531399/,531399,141.00,24.22,117.47,0.00,1.24,51.22,25.32,15.41,14.92
2881.,Archies,https://www.screener.in/company/ARCHIES/,ARCHIES,34.76,,117.42,0.00,-1.02,25.55,13.38,-10.86,-0.47
2882.,Blue Pebble,https://www.screener.in/company/BLUEPEBBLE/,BLUEPEBBLE,287.65,31.21,117.36,0.00,0.83,,8.88,,97.57
2883.,Rasi Electrodes,https://www.screener.in/company/531233/,531233,37.60,31.38,117.05,0.00,1.09,94.64,21.25,13.03,12.84
2884.,21st Cent. Mgmt.,https://www.screener.in/company/21STCENMGM/consolidated/,21STCENMGM,111.42,1.97,116.99,2.24,24.45,982.67,108.58,10650.50,78.43
2885.,Brace Port,https://www.screener.in/company/BRACEPORT/,BRACEPORT,103.50,23.92,116.97,0.00,,,,,56.81
2886.,Sharat Industrie,https://www.screener.in/company/519397/,519397,48.89,16.37,116.91,0.51,3.06,70.00,89.85,12.45,9.99
2887.,Scoobee Garments,https://www.screener.in/company/531234/,531234,86.55,42.96,116.84,0.00,0.22,-82.26,7.09,-37.42,11.96
2888.,Rama Vision,https://www.screener.in/company/523289/,523289,112.05,30.11,116.83,0.00,1.19,70.00,26.83,32.69,15.28
2889.,Grob Tea Co,https://www.screener.in/company/GROBTEA/,GROBTEA,1004.45,41.85,116.75,0.20,5.12,120.69,23.96,14.31,1.31
2890.,Rainbow Foundat.,https://www.screener.in/company/531694/,531694,23.51,23.76,116.65,0.00,1.42,208.70,31.86,90.89,5.33
2891.,V.L.Infraproject,https://www.screener.in/company/VLINFRA/,VLINFRA,74.20,18.99,116.59,0.00,,,,,39.50
2892.,Shanti Spintex,https://www.screener.in/company/544059/,544059,69.00,9.47,116.53,0.00,7.78,,343.51,,19.49
2893.,Resonance Speci.,https://www.screener.in/company/524218/,524218,100.40,37.13,115.86,1.00,0.59,18.39,17.30,28.53,7.26
2894.,Future Consumer,https://www.screener.in/company/FCONSUMER/consolidated/,FCONSUMER,0.58,,115.83,0.00,-15.80,25.77,106.39,19.85,-10.48
2895.,Tokyo Plast Intl,https://www.screener.in/company/TOKYOPLAST/,TOKYOPLAST,121.89,87.07,115.80,0.00,0.38,533.33,17.80,22.17,3.32
2896.,Manglam Infra,https://www.screener.in/company/MIEL/,MIEL,65.60,17.03,115.43,0.00,,,,,
2897.,Rappid Valves,https://www.screener.in/company/id/1285001/,id,,27.91,115.26,,,,,,38.23
2898.,Arshiya,https://www.screener.in/company/ARSHIYA/consolidated/,ARSHIYA,4.37,,115.14,0.00,-59.63,-17.22,38.74,4.39,-2.49
2899.,Harshdeep,https://www.screener.in/company/544105/,544105,71.51,17.57,115.09,0.00,3.60,,25.27,,50.09
2900.,Suvidhaa Info.,https://www.screener.in/company/SUVIDHAA/consolidated/,SUVIDHAA,5.46,,114.55,0.00,-3.95,12.22,4.22,131.87,-24.76
2901.,Oriental Trimex,https://www.screener.in/company/ORIENTALTL/,ORIENTALTL,15.57,,114.45,0.00,0.48,-15271.43,0.54,68.75,-6.42
2902.,Yaari Digital,https://www.screener.in/company/YAARI/consolidated/,YAARI,11.39,,114.40,0.00,-5.28,4.00,0.00,-100.00,-337.74
2903.,DSJ Keep Learn,https://www.screener.in/company/KEEPLEARN/,KEEPLEARN,7.34,243.17,114.29,0.00,0.11,375.00,2.56,82.86,22.97
2904.,Energy Devl.Co.,https://www.screener.in/company/ENERGYDEV/consolidated/,ENERGYDEV,24.00,,114.00,0.00,-0.46,71.43,6.78,15.90,3.05
2905.,Nimbus Projects,https://www.screener.in/company/511714/consolidated/,511714,105.01,,113.81,0.00,-11.73,-2706.67,0.35,-48.53,
2906.,Times Guaranty,https://www.screener.in/company/TIMESGTY/,TIMESGTY,126.43,61.11,113.66,0.00,0.56,12.00,0.85,6.25,5.30
2907.,MEP Infrast.,https://www.screener.in/company/MEP/consolidated/,MEP,6.17,,113.49,0.00,-116.18,13.15,18.65,649.00,-20.94
2908.,JCT,https://www.screener.in/company/500223/,500223,1.30,,112.88,0.00,-40.03,-1475.98,113.27,-42.09,-9.86
2909.,Jasch Industries,https://www.screener.in/company/500220/,500220,165.85,10.09,112.74,0.00,1.90,-72.58,41.82,-25.00,21.50
2910.,Ganga Forging,https://www.screener.in/company/GANGAFORGE/,GANGAFORGE,8.35,178.67,112.56,0.00,0.20,66.67,8.51,-13.69,4.81
2911.,Shetron,https://www.screener.in/company/526137/,526137,124.95,18.62,112.46,0.80,1.53,-24.26,64.57,-18.03,15.04
2912.,Durlax Top,https://www.screener.in/company/DURLAX/,DURLAX,67.60,22.26,112.40,0.00,,,,,13.22
2913.,James Warren Tea,https://www.screener.in/company/538564/,538564,303.35,8.55,112.24,0.00,9.70,725.81,30.89,27.07,1.61
2914.,Maruti Interior,https://www.screener.in/company/543464/,543464,74.30,32.71,112.19,0.34,1.07,,18.10,,14.95
2915.,Ahm. Steelcraft,https://www.screener.in/company/522273/,522273,274.15,,112.13,0.00,0.00,100.00,0.00,-100.00,-18.10
2916.,MRP Agro,https://www.screener.in/company/543262/,543262,111.55,111.94,111.94,0.00,1.00,,17.46,,12.34
2917.,Arihant Academy,https://www.screener.in/company/ARIHANTACA/,ARIHANTACA,184.70,72.15,111.84,0.54,0.79,,10.83,,8.96
2918.,Tanvi Foods,https://www.screener.in/company/540332/,540332,97.20,293.76,111.63,0.00,0.35,,42.08,,3.64
2919.,Fortis Malar,https://www.screener.in/company/523696/consolidated/,523696,59.38,,111.29,71.57,-0.06,97.95,0.00,-100.00,-3.29
2920.,Mohini Health,https://www.screener.in/company/MHHL/,MHHL,60.60,10.46,110.51,0.83,5.60,,98.36,,14.47
2921.,Vippy Spinpro,https://www.screener.in/company/514302/,514302,188.00,18.18,110.36,0.00,1.84,1214.29,70.14,8.98,6.98
2922.,Patdiam Jeweller,https://www.screener.in/company/539401/,539401,255.55,17.88,110.32,0.00,4.10,,62.42,,15.93
2923.,Rachana Infra.,https://www.screener.in/company/RILINFRA/,RILINFRA,59.25,31.77,110.23,0.00,2.90,,64.80,,6.58
2924.,Orient Press,https://www.screener.in/company/ORIENTLTD/,ORIENTLTD,110.06,,110.06,0.00,-0.76,-15.15,36.80,-11.35,3.95
2925.,KG Petrochem,https://www.screener.in/company/531609/,531609,210.50,28.32,109.88,0.00,1.95,296.97,68.18,-19.04,3.65
2926.,Sky Industries,https://www.screener.in/company/526479/,526479,139.25,19.73,109.88,0.72,1.66,118.42,21.84,11.54,14.31
2927.,Promax Power,https://www.screener.in/company/543375/,543375,43.91,80.13,109.78,0.00,0.93,,31.54,,9.52
2928.,Royal Cush. Vin.,https://www.screener.in/company/526193/,526193,29.98,12.08,109.69,0.00,-0.18,95.23,16.15,77.47,
2929.,Global Pet Indus,https://www.screener.in/company/GLOBALPET/,GLOBALPET,111.90,60.84,109.52,0.00,1.27,,23.26,,14.88
2930.,Popees Care,https://www.screener.in/company/530565/,530565,179.70,,109.08,0.00,-0.05,0.00,0.00,,-281.82
2931.,SecureKloud Tech,https://www.screener.in/company/SECURKLOUD/consolidated/,SECURKLOUD,32.55,,108.75,0.00,-14.16,14.15,47.45,-52.08,-50.54
2932.,Excel Realty,https://www.screener.in/company/EXCEL/consolidated/,EXCEL,0.77,79.87,108.62,0.00,0.55,243.75,0.49,-23.44,0.68
2933.,Kiduja India,https://www.screener.in/company/507946/,507946,452.55,2.99,108.61,0.00,5.42,75.97,8.83,91.13,62.90
2934.,Tulive Developer,https://www.screener.in/company/505285/,505285,502.20,,108.19,0.00,-0.23,20.69,0.00,,-2.59
2935.,McNally Bharat,https://www.screener.in/company/MBECL/consolidated/,MBECL,5.11,,108.11,0.00,-220.32,7.01,26.18,-36.13,
2936.,SwarnsaritaJewel,https://www.screener.in/company/526365/consolidated/,526365,51.68,19.73,107.91,0.00,6.25,12.01,155.10,-20.18,6.50
2937.,Damodar Indust.,https://www.screener.in/company/DAMODARIND/,DAMODARIND,46.27,43.47,107.81,0.00,-1.51,-189.88,119.31,-40.07,8.32
2938.,Trescon,https://www.screener.in/company/532159/consolidated/,532159,14.86,75.86,107.72,0.00,-0.93,-217.72,0.00,,
2939.,Som Datt Finance,https://www.screener.in/company/511571/,511571,107.35,8.62,107.46,0.00,3.16,12.86,4.94,50.15,46.59
