No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
156,ALGN,"Align Technology, Inc.",18.89B,252.93,1.39%,3.94B
157,HOLX,"Hologic, Inc.",18.75B,80.73,0.79%,3.99B
158,FOX,Fox Corporation,18.61B,38.9,0.61%,13.98B
159,VRSN,"VeriSign, Inc.",18.59B,190.46,2.29%,1.53B
160,FWONK,Formula One Group,18.44B,78.04,0.53%,3.69B
161,NTRS,Northern Trust Corporation,18.25B,90.49,0.62%,7.61B
162,FWONA,Formula One Group,18.18B,72.33,0.58%,3.69B
163,SSNC,"SS&C Technologies Holdings, Inc.",18.13B,73.87,-0.82%,5.66B
164,LINE,"Lineage, Inc.",17.82B,78.73,0.59%,5.33B
165,JBHT,"J.B. Hunt Transport Services, Inc.",17.61B,172.67,0.68%,12.34B
166,ENTG,"Entegris, Inc.",17.39B,115.18,-1.23%,3.28B
167,LPLA,LPL Financial Holdings Inc.,17.27B,231.01,0.76%,10.93B
168,MANH,"Manhattan Associates, Inc.",17.18B,280.56,-1.15%,996.57M
169,GEN,Gen Digital Inc.,16.83B,27.35,0.66%,3.83B
170,PODD,Insulet Corporation,16.32B,233.04,-1.02%,1.87B
171,WMG,Warner Music Group Corp.,16.18B,31.24,-0.02%,6.38B
172,BSY,"Bentley Systems, Incorporated",16.11B,50.8,0.28%,1.29B
173,SMMT,Summit Therapeutics Inc.,15.98B,21.43,-6.05%,-
174,UTHR,United Therapeutics Corporation,15.94B,358.36,0.18%,2.62B
175,NTNX,"Nutanix, Inc.",15.90B,59.95,-2.04%,2.15B
176,SWKS,"Skyworks Solutions, Inc.",15.79B,98.88,-1.19%,4.37B
177,DLTR,"Dollar Tree, Inc.",15.78B,73.38,0.69%,30.97B
178,ENPH,"Enphase Energy, Inc.",15.65B,115.56,1.72%,1.42B
179,LNT,Alliant Energy Corporation,15.56B,60.66,1.27%,3.96B
180,CG,The Carlyle Group Inc.,15.56B,43.66,2.02%,2.78B
181,NTRA,"Natera, Inc.",15.46B,125.02,0.94%,1.36B
182,GMAB,Genmab A/S,15.43B,24.42,1.24%,2.73B
183,AKAM,"Akamai Technologies, Inc.",15.41B,101.7,1.59%,3.93B
184,GRAB,Grab Holdings Limited,15.33B,3.87,1.84%,2.58B
185,NWS,News Corporation,15.28B,27.96,0.76%,10.09B
186,NWSA,News Corporation,15.14B,26.59,0.78%,10.09B
187,Z,"Zillow Group, Inc.",15.05B,65.32,-0.32%,2.07B
188,TRMB,Trimble Inc.,15.04B,61.58,1.76%,3.71B
189,NDSN,Nordson Corporation,14.98B,261.91,0.37%,2.66B
190,IBKR,"Interactive Brokers Group, Inc.",14.97B,137.53,0.59%,4.77B
191,AZPN,"Aspen Technology, Inc.",14.89B,235.4,-0.17%,1.13B
192,CPB,Campbell Soup Company,14.69B,49.28,-0.28%,9.64B
193,ZG,"Zillow Group, Inc.",14.62B,63.16,-0.58%,2.07B
194,EVRG,"Evergy, Inc.",14.29B,62.13,0.98%,5.64B
195,POOL,Pool Corporation,14.28B,373.21,0.78%,5.37B
196,PCVX,"Vaxcyte, Inc.",14.03B,113.39,1.75%,-
197,GLPI,"Gaming and Leisure Properties, Inc.",13.92B,50.73,-0.37%,1.49B
198,VTRS,Viatris Inc.,13.84B,11.6,-0.22%,15.24B
199,CASY,"Casey's General Stores, Inc.",13.82B,372.22,-0.41%,15.09B
200,MORN,"Morningstar, Inc.",13.64B,318.47,0.22%,2.17B
201,LAMR,Lamar Advertising Company,13.63B,133.26,0.57%,2.16B
202,LOGI,Logitech International S.A.,13.49B,89.11,1.54%,4.41B
203,MNDY,monday.com Ltd.,13.48B,270.39,-0.99%,844.78M
204,BMRN,BioMarin Pharmaceutical Inc.,13.47B,70.75,0.73%,2.59B
205,FLEX,Flex Ltd.,13.27B,33.42,-1.71%,25.84B
206,FTAI,FTAI Aviation Ltd.,13.20B,129.18,2.49%,1.37B
207,ARCC,Ares Capital Corporation,13.18B,20.91,1.11%,2.82B
208,REG,Regency Centers Corporation,12.98B,71.69,1.08%,1.46B
209,AFRM,"Affirm Holdings, Inc.",12.83B,41.24,-0.96%,2.32B
210,FFIV,"F5, Inc.",12.80B,219.55,-0.81%,2.78B
211,JKHY,"Jack Henry & Associates, Inc.",12.79B,175.44,0.75%,2.22B
212,HST,"Host Hotels & Resorts, Inc.",12.76B,18.17,-0.41%,5.48B
213,INCY,Incyte Corporation,12.75B,66.2,1.64%,3.86B
214,CHRW,"C.H. Robinson Worldwide, Inc.",12.72B,108.42,0.82%,17.46B
215,RPRX,Royalty Pharma plc,12.69B,28.32,0.44%,2.24B
216,OKTA,"Okta, Inc.",12.59B,74.09,-0.27%,2.45B
217,DOCU,"DocuSign, Inc.",12.54B,61.81,-1.15%,2.86B
218,INSM,Insmed Incorporated,12.51B,72.79,-0.11%,328.61M
219,TECH,Bio-Techne Corporation,12.48B,78.65,0.76%,1.16B
220,TTEK,"Tetra Tech, Inc.",12.36B,46.17,-1.04%,4.23B
221,EXAS,Exact Sciences Corporation,12.19B,66,-2.86%,2.61B
222,CYBR,CyberArk Software Ltd.,12.18B,282.35,-1.75%,860.60M
223,PAA,"Plains All American Pipeline, L.P.",12.17B,17.36,0.32%,49.70B
224,WING,Wingstop Inc.,12.06B,411.66,-3.47%,545.65M
225,DUOL,"Duolingo, Inc.",12.01B,275.8,-0.78%,634.49M
226,HTHT,H World Group Limited,11.90B,37.97,3.91%,3.21B
227,SRPT,"Sarepta Therapeutics, Inc.",11.88B,124.61,-0.18%,1.50B
228,FUTU,Futu Holdings Limited,11.83B,85.76,5.27%,1.22B
229,NBIX,"Neurocrine Biosciences, Inc.",11.70B,115.86,-0.06%,2.12B
230,TXRH,"Texas Roadhouse, Inc.",11.67B,175.07,-1.83%,4.95B
231,RIVN,"Rivian Automotive, Inc.",11.66B,11.56,3.51%,5.01B
232,MBLY,Mobileye Global Inc.,11.65B,14.36,4.21%,1.85B
233,SAIA,"Saia, Inc.",11.53B,434.86,0.83%,3.10B
234,EWBC,"East West Bancorp, Inc.",11.29B,81.44,0.28%,2.36B
235,COKE,"Coca-Cola Consolidated, Inc.",11.26B,"1,284.99",-0.11%,6.73B
236,LBRDK,Liberty Broadband Corporation,11.14B,77.99,3.35%,981.00M
237,LECO,"Lincoln Electric Holdings, Inc.",10.94B,193.05,-0.28%,4.09B
238,ROKU,"Roku, Inc.",10.88B,75.22,2.06%,3.75B
239,SFM,"Sprouts Farmers Market, Inc.",10.81B,107.93,-0.50%,7.19B
240,CHK,Chesapeake Energy Corporation,10.80B,82.31,2.50%,4.10B
241,LBRDA,Liberty Broadband Corporation,10.77B,77.76,3.45%,981.00M
242,WYNN,"Wynn Resorts, Limited",10.72B,97.41,7.01%,7.11B
243,NICE,NICE Ltd.,10.68B,172.36,2.01%,2.55B
244,BRKR,Bruker Corporation,10.66B,70.7,0.37%,3.12B
245,LKQ,LKQ Corporation,10.65B,40.45,0.86%,14.48B
246,MMYT,MakeMyTrip Limited,10.50B,95.63,1.19%,840.31M
247,PPC,Pilgrim's Pride Corporation,10.35B,43.64,1.25%,17.81B
248,CART,Maplebear Inc.,10.27B,39.93,1.19%,3.21B
249,MEDP,"Medpace Holdings, Inc.",10.26B,331.82,1.71%,2.03B
250,WWD,"Woodward, Inc.",10.15B,170.09,-0.20%,3.25B
251,DOX,Amdocs Limited,10.07B,88.19,0.97%,4.98B
252,HAS,"Hasbro, Inc.",10.06B,72.17,0.25%,4.54B
253,AUR,"Aurora Innovation, Inc.",9.95B,5.79,-0.26%,-
254,QRVO,"Qorvo, Inc.",9.83B,103.63,-1.27%,4.01B
255,CHDN,Churchill Downs Incorporated,9.82B,133.76,0.28%,2.62B
256,XP,XP Inc.,9.80B,18.3,0.80%,2.84B
257,OLED,Universal Display Corporation,9.76B,205.67,-0.95%,623.16M
258,MTCH,"Match Group, Inc.",9.73B,37.73,1.51%,3.47B
259,MKTX,MarketAxess Holdings Inc.,9.63B,255.03,0.33%,777.51M
260,BILI,Bilibili Inc.,9.47B,22.86,8.37%,3.30B
261,WIX,Wix.com Ltd.,9.44B,168.73,-1.75%,1.65B
262,RGLD,"Royal Gold, Inc.",9.37B,142.52,-2.13%,607.22M
263,TLN,Talen Energy Corporation,9.28B,181.99,2.11%,2.11B
264,HSIC,"Henry Schein, Inc.",9.27B,73.17,3.26%,12.49B
265,VFS,VinFast Auto Ltd.,9.15B,3.91,0.06%,1.34B
266,LEGN,Legend Biotech Corporation,9.10B,49.36,5.36%,455.99M
267,SEIC,SEI Investments Company,9.02B,69.46,0.86%,1.99B
268,CZR,"Caesars Entertainment, Inc.",8.99B,41.54,1.12%,11.39B
269,APA,APA Corporation,8.97B,24.26,4.80%,8.91B
270,DSGX,The Descartes Systems Group Inc.,8.96B,102.47,-2.32%,607.70M
271,PCTY,Paylocity Holding Corporation,8.96B,161.25,-1.16%,1.40B
272,FYBR,"Frontier Communications Parent, Inc.",8.92B,35.81,0.24%,5.80B
273,OTEX,Open Text Corporation,8.74B,33.12,-1.55%,5.77B
274,ESLT,Elbit Systems Ltd.,8.72B,195,-0.29%,6.31B
